Historical_timestep,Mean_abs_attribution
1,2.779812356666807e+18
2,1.2816464200720932e+18
3,9.101351270887099e+17
4,5.5750744097799885e+17
5,6.027508501426871e+17
6,5.747612193721196e+17
7,3.3612684725793235e+17
8,2.1202585701772054e+17
9,1.999594803591097e+17
10,9.745900552050856e+16
11,5.929407854705164e+16
12,3.5137323334930224e+16
13,2.786966612399444e+16
14,1.8450628789284052e+16
15,1.2734429794473426e+16
16,8196785958465594.0
17,6635747807371924.0
18,5715329725923426.0
19,3307706775969307.5
20,2629565038023773.0
21,1792727134306634.2
22,1334567547455163.5
23,978170969718905.8
24,520167125856499.3
25,371243416255949.56
26,286679970356191.4
27,167446330135789.28
28,154953859614310.3
29,128955774508964.25
30,49126762530959.016
31,23451299098106.465
32,15903354573978.842
33,12227737521471.562
34,9425868365289.941
35,5681208276242.298
36,3926080608379.236
37,2049785694130.5747
38,1297350935289.4382
39,932339513884.3806
40,640298284391.8663
41,468246135022.6984
42,306904162640.18726
43,191400886394.2456
44,117460884249.42589
45,80190285030.244
46,47654033614.25823
47,36749981929.65788
48,22611317755.559303
49,16393282516.861208
50,11434607398.118984
51,6800829848.238937
52,5513225654.32683
53,3677577426.380144
54,2310771380.078186
55,1607965830.2589824
56,1168924939.3297193
57,634951565.6513271
58,508629079.21805936
59,331018207.4068995
60,217488845.77478483
61,155210475.84124354
62,91524670.60899065
63,65958556.202843934
64,43594628.14987956
65,28954691.406182006
66,19383594.08856181
67,14101794.845416835
68,8834391.22457078
69,5957921.507998848
70,3439625.028966212
71,2029497.0379653664
72,1467686.8570455352
73,881712.8874916367
74,699669.1420760622
75,413229.425612556
76,230661.4180664108
77,173990.07948871356
78,98531.14427216511
79,72212.17046200954
80,48750.874453839744
81,32687.179596176185
82,21714.67169959892
83,13627.44262093684
84,9170.254961327497
85,6284.832242279085
86,4269.821586491936
87,2801.513878619582
88,1753.9604923769907
89,1049.0842492453298
90,765.0697849339487
91,480.4051881366699
92,310.9819378506758
93,212.97622249911313
94,129.6089966996417
95,85.1518254293362
96,55.15934248415706
97,35.77296662805695
98,24.662870845703775
99,15.173992065510001
100,9.494731214164144
101,6.109399995355687
102,4.118369227022424
103,2.6441563938327177
104,1.678041233140808
105,1.0831219572892763
106,0.6901695049660249
107,0.4411492982174705
108,0.28859859359465234
109,0.1810445570303951
110,0.11550801651074995
111,0.07341468392408115
112,0.04697016383084878
113,0.02949863268591312
114,0.01909849416421907
115,0.01169064799362097
116,0.007492842461571092
117,0.004832139450734299
118,0.004121061159799135
119,0.0031357693912517207
120,0.005666256228940716
