Feature,Base_MAE,Ablated_MAE,MAE_change,Relative_change_%
Global_active_power,0.5707278847694397,0.6306920647621155,0.05996417999267578,10.506614727069076
Global_intensity,0.5707278847694397,0.6177837252616882,0.047055840492248535,8.244881974052829
Sub_metering_3,0.5707278847694397,0.5783185958862305,0.0075907111167907715,1.3300053001365504
Sub_metering_1,0.5707278847694397,0.5684011578559875,-0.0023267269134521484,-0.40767710419337405
weekday,0.5707278847694397,0.5677250623703003,-0.0030028223991394043,-0.5261390724499947
year,0.5707278847694397,0.5626609325408936,-0.008066952228546143,-1.4134498144952208
Sub_metering_2,0.5707278847694397,0.5591117739677429,-0.011616110801696777,-2.0353150970342733
month_cos,0.5707278847694397,0.5577295422554016,-0.012998342514038086,-2.277502617431966
quarter_cos,0.5707278847694397,0.5566412806510925,-0.014086604118347168,-2.468182209817524
day_of_year_sin,0.5707278847694397,0.5517748594284058,-0.018953025341033936,-3.3208514682422607
quarter_sin,0.5707278847694397,0.5497502684593201,-0.02097761631011963,-3.6755898686453845
day_of_year_cos,0.5707278847694397,0.5494589805603027,-0.021268904209136963,-3.726627833810694
month_sin,0.5707278847694397,0.5436553955078125,-0.027072489261627197,-4.743502110916453
