historical_timestep,gradient_l2
0,2.2606461e+14
1,6.7467385e+13
2,1.3684608e+13
3,2.3538386e+13
4,1.7428928e+13
5,2.3316897e+13
6,1.1150693e+13
7,2.031317e+13
8,3.0432742e+13
9,3.3749104e+13
10,7.8784197e+12
11,4.1424755e+12
12,3.3602024e+12
13,1.1996848e+12
14,1.1175014e+12
15,7.168774e+11
16,4.7286446e+11
17,9.303401e+10
18,2.5949982e+11
19,1.110416e+11
20,1.5976419e+11
21,6.340315e+10
22,8.542241e+10
23,5.146563e+10
24,2.985392e+10
25,3.1613676e+10
26,2.3135095e+10
27,1.0517667e+10
28,2.6951023e+10
29,5.835942e+09
30,6.833194e+09
31,4.1443786e+09
32,2.4980477e+09
33,3.5476134e+09
34,1.6084979e+09
35,8.6585114e+08
36,3.3504554e+08
37,1.67121e+08
38,1.13614136e+08
39,8.4348936e+07
40,4.0541076e+07
41,1.4337054e+07
42,4.4995056e+07
43,2.1937746e+07
44,1.1426815e+07
45,3.8441482e+06
46,2.374835e+06
47,2.1351808e+06
48,2.2340335e+06
49,383314.0
50,483509.66
51,207051.58
52,236899.44
53,165725.03
54,110995.9
55,328468.62
56,74547.65
57,251380.44
58,274511.62
59,237661.38
60,147386.73
61,198931.06
62,257717.69
63,265820.9
64,449035.8
65,289918.8
66,234923.81
67,388973.62
68,131555.1
69,73758.05
70,179668.38
71,109076.11
72,59389.277
73,20153.393
74,37682.832
75,41785.074
76,10053.098
77,10069.045
78,13904.621
79,9674.546
80,26139.998
81,11222.993
82,4131.8438
83,3933.8154
84,6529.555
85,2725.8953
86,7780.843
87,1944.2454
88,2849.521
89,1899.2537
90,1000.15717
91,1300.9962
92,673.81903
93,1434.8986
94,690.78156
95,611.0599
96,482.78992
97,334.86267
98,189.99516
99,116.78229
100,24.25645
101,43.493317
102,27.684881
103,29.543068
104,16.702684
105,7.415778
106,6.499519
107,8.475822
108,4.0837317
109,1.9809799
110,0.7988835
111,0.4711797
112,0.76109946
113,0.3991882
114,0.5940114
115,0.38762817
116,0.26314655
117,0.10415508
118,0.08090973
119,0.075224824
