sample_number,window_start,success,prediction,target_scaled,prediction_abs_error_scaled,baseline_prediction,output_difference,gradient_l2,gradient_max_abs,gradient_mean_abs,early_gradient_mean,recent_gradient_mean,early_recent_gradient_ratio,ig_sum,captum_delta,ig_max_abs,absolute_completeness_error,normalized_completeness_error,error
0,0,True,0.18831917643547058,0.33399632573127747,0.14567714929580688,0.14732897281646729,0.040990203619003296,7.350841337467372e+17,4.9306980472324096e+17,2807533148307456.0,1.7511004290573926e+17,0.8913318514823914,1.964588639063109e+17,-3.0148644567745823e+18,-3.0148644567745823e+18,2.2463282315085742e+18,3.0148644567745823e+18,7.355085338740115e+19,
1,2068,True,0.1538301706314087,0.07233172655105591,0.08149844408035278,0.14732897281646729,0.006501197814941406,5.69090725862441e+16,3.102017580957696e+16,213616036937728.0,1.3526137284067328e+16,0.4638805091381073,2.9158666979129972e+16,7835034497056768.0,7835034497056768.0,3293859006119936.0,7835034497056768.0,1.205167835047981e+18,
2,4136,True,0.11930716037750244,0.11802171170711517,0.001285448670387268,0.14732897281646729,-0.028021812438964844,16412149022720.0,5527353425920.0,88466776064.0,4766549671936.0,0.5688048005104065,8379939247451.542,1.614826270716068e+17,1.614826270716068e+17,9.04068110179369e+16,1.614826270716068e+17,5.762747410345931e+18,
3,6205,True,0.07084617018699646,0.04846448078751564,0.02238168939948082,0.14732897281646729,-0.07648280262947083,1273070354432.0,429115211776.0,6833734656.0,379060977664.0,1.045646071434021,362513653538.7617,2742341450334208.0,2742341450334208.0,988710262800384.0,2742341450334208.0,3.585566109003511e+16,
4,8273,True,0.24585683643817902,0.3417843282222748,0.09592749178409576,0.14732897281646729,0.09852786362171173,1316477001007104.0,540326380961792.0,5693220847616.0,304660116144128.0,0.24948325753211975,1221164574961125.5,6.688604109668352e+17,6.688604109668352e+17,2.932611228851241e+17,6.688604109668352e+17,6.788540686602847e+18,
5,10342,True,0.33837971091270447,0.5754885673522949,0.23710885643959045,0.14732897281646729,0.19105073809623718,2.0138910954396058e+17,1.5634225559293133e+17,573576373600256.0,3.426289974037709e+16,0.6556946635246277,5.225435198175924e+16,3.323031315200082e+17,3.323031315200082e+17,3.6729673834142106e+17,3.323031315200082e+17,1.7393449239169083e+18,
6,12410,True,0.3630586862564087,0.33706134557724,0.0259973406791687,0.14732897281646729,0.2157297134399414,3874723805003776.0,2055261573349376.0,16020889665536.0,737507088007168.0,0.6832525134086609,1079406330066519.4,-5.922859973921997e+16,-5.922859973921997e+16,3.218773904667443e+16,5.922859973921997e+16,2.7455003204940752e+17,
7,14479,True,0.3451545238494873,0.29419615864753723,0.05095836520195007,0.14732897281646729,0.19782555103302002,1.0727756281570918e+17,4.737461026134426e+16,455327501778944.0,2.8636539827257344e+16,22.552427291870117,1269776395092535.2,2.6611816652498534e+17,2.6611816652498534e+17,1.2974010433483571e+17,2.6611816652498534e+17,1.3452163541767214e+18,
8,16547,True,0.13767936825752258,0.18788810074329376,0.05020873248577118,0.14732897281646729,-0.009649604558944702,146344951808.0,67545370624.0,816558272.0,39755018240.0,11.864021301269531,3350888980.2605076,160107086217216.0,160107086217216.0,465653341356032.0,160107086217216.0,1.659208781278116e+16,
9,18616,True,0.45597711205482483,0.49660786986351013,0.0406307578086853,0.14732897281646729,0.30864813923835754,4793982903123968.0,2798277493784576.0,18296982208512.0,1099620746788864.0,1.1257741451263428,976768521065525.4,2.060956034263941e+17,2.060956034263941e+17,1.7394151974345114e+17,2.060956034263941e+17,6.677364196469896e+17,
